00,00,00,00,00,00,00,00,04,00,00,00,00,00,00,00,07,00,
00,00,00,00,00,00,00,00,04,00,00,00,00,00,00,00,09,00,
09,06,09,07,09,00,00,00,01,00,00,00,00,00,00,00,07,00,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,07,07,07,07,07,07,07,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,03,00,00,00,00,07,01,07,03,06,07,07,07,03,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,02,00,00,00,00,00,00,09,09,09,09,09,09,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
09,09,09,09,00,00,09,09,09,09,09,09,00,00,00,09,09,09,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
